fold_id,feature,importance,is_history_count,stat_type
test_2015,sharp_24h_MEANGBH_min,0.006754797621261674,False,min
test_2015,sharp_24h_MEANGBH_max,0.01550946458722668,False,max
test_2015,sharp_24h_MEANGBH_delta,0.00105565751418774,False,delta
test_2015,sharp_24h_MEANJZD_last,0.0009353958760386936,False,last
test_2015,sharp_24h_MEANJZD_mean,0.00598894602704639,False,mean
test_2015,sharp_24h_MEANJZD_std,0.007532326471188431,False,std
test_2015,sharp_24h_MEANJZD_min,0.0024032115444030644,False,min
test_2015,sharp_24h_MEANJZD_max,0.0054079651879932016,False,max
test_2015,sharp_24h_MEANJZD_delta,0.00023449687102152742,False,delta
test_2015,sharp_24h_TOTUSJZ_last,0.041151616071176775,False,last
test_2015,sharp_24h_TOTUSJZ_mean,0.035540824415024395,False,mean
test_2015,sharp_24h_TOTUSJZ_std,0.010269411384384173,False,std
test_2015,sharp_24h_TOTUSJZ_min,0.024849288448475247,False,min
test_2015,sharp_24h_TOTUSJZ_max,0.038924183586216306,False,max
test_2015,sharp_24h_TOTUSJZ_delta,0.0055347245509786884,False,delta
test_2015,sharp_24h_MEANALP_last,0.0018389925375689542,False,last
test_2015,sharp_24h_MEANALP_mean,0.0027819361570434542,False,mean
test_2015,sharp_24h_MEANALP_std,0.0014020915098661973,False,std
test_2015,sharp_24h_MEANALP_min,0.002585367761497094,False,min
test_2015,sharp_24h_MEANALP_max,0.004044634939853769,False,max
test_2015,sharp_24h_MEANALP_delta,0.0009570298050566528,False,delta
test_2015,sharp_24h_MEANJZH_last,0.003386884415532976,False,last
test_2015,sharp_24h_MEANJZH_mean,0.004619750185259535,False,mean
test_2015,sharp_24h_MEANJZH_std,0.0031042160968080164,False,std
test_2015,sharp_24h_MEANJZH_min,0.006147623779612339,False,min
test_2015,sharp_24h_MEANJZH_max,0.004345376396617148,False,max
test_2015,sharp_24h_MEANJZH_delta,0.000972945541362161,False,delta
test_2015,sharp_24h_ABSNJZH_last,0.0038620595134623925,False,last
test_2015,sharp_24h_ABSNJZH_mean,0.004261183118491835,False,mean
test_2015,sharp_24h_ABSNJZH_std,0.028703077755161868,False,std
test_2015,sharp_24h_ABSNJZH_min,0.002776503966346565,False,min
test_2015,sharp_24h_ABSNJZH_max,0.012435231042544084,False,max
test_2015,sharp_24h_ABSNJZH_delta,0.001943518870339401,False,delta
test_2015,sharp_24h_SAVNCPP_last,0.018159418754506447,False,last
test_2015,sharp_24h_SAVNCPP_mean,0.044210095900970664,False,mean
test_2015,sharp_24h_SAVNCPP_std,0.01773206171331981,False,std
test_2015,sharp_24h_SAVNCPP_min,0.010538991258462693,False,min
test_2015,sharp_24h_SAVNCPP_max,0.046557726859494025,False,max
test_2015,sharp_24h_SAVNCPP_delta,0.0030149787598139554,False,delta
test_2015,sharp_24h_MEANSHR_last,0.001459241879761216,False,last
test_2015,sharp_24h_MEANSHR_mean,0.0015421538544345371,False,mean
test_2015,sharp_24h_MEANSHR_std,0.0017963084135049752,False,std
test_2015,sharp_24h_MEANSHR_min,0.0035417533656611697,False,min
test_2015,sharp_24h_MEANSHR_max,0.0054717135166626775,False,max
test_2015,sharp_24h_MEANSHR_delta,0.003028388543945247,False,delta
test_2015,sharp_24h_SHRGT45_last,0.0010877857282804522,False,last
test_2015,sharp_24h_SHRGT45_mean,0.004032427081875784,False,mean
test_2015,sharp_24h_SHRGT45_std,0.002581090220848078,False,std
test_2015,sharp_24h_SHRGT45_min,0.0015432564882883258,False,min
test_2015,sharp_24h_SHRGT45_max,0.0024976913935466985,False,max
test_2015,sharp_24h_SHRGT45_delta,0.0028764941125582863,False,delta
test_2015,sharp_24h_R_VALUE_last,0.09400700287046652,False,last
test_2015,sharp_24h_R_VALUE_mean,0.053332573640195606,False,mean
test_2015,sharp_24h_R_VALUE_std,0.004305014839892826,False,std
test_2015,sharp_24h_R_VALUE_min,0.057803281092304495,False,min
test_2015,sharp_24h_R_VALUE_max,0.08946508001135464,False,max
test_2015,sharp_24h_R_VALUE_delta,0.0031577172671610827,False,delta
test_2015,sharp_24h_USFLUX_last,0.030717614741061865,False,last
test_2015,sharp_24h_USFLUX_mean,0.007775541147186235,False,mean
