experiment,modality,goes_usage,solar_cycle_scope,feature_view,model_name,fold_id,train_years,val_years,test_years,n_features,train_rows,val_rows,test_rows,train_positives,val_positives,test_positives,selected_threshold,diagnostic_test_best_threshold,diagnostic_test_best_tss,val_roc_auc,val_pr_auc,val_brier,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_tss,val_hss,val_tp,val_tn,val_fp,val_fn,test_roc_auc,test_pr_auc,test_brier,test_threshold,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_tss,test_hss,test_tp,test_tn,test_fp,test_fn
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_plus_optional,logistic_regression_balanced,test_2015,"2010,2011,2012,2013",2014,2015,17,38329,11627,11236,1230,629,531,0.5025000000000001,0.4625,0.8138212690797813,0.8678980800382553,0.4762396761380314,0.11226837857163038,0.5025000000000001,0.8610991657349273,0.25151209677419356,0.7933227344992051,0.8649754500818331,0.3819364714887103,0.6582981845810383,0.326617089848089,499,9513,1485,130,0.9594307533572412,0.625146720271539,0.07207951534705868,0.5025000000000001,0.911000355998576,0.33497536945812806,0.896421845574388,0.9117234936945353,0.48770491803278687,0.8081453392689233,0.44985132374016884,476,9760,945,55
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_plus_optional,random_forest_balanced,test_2015,"2010,2011,2012,2013",2014,2015,17,38329,11627,11236,1230,629,531,0.10250000000000001,0.1925,0.7628130192431684,0.8444763479181501,0.3332283030495796,0.05109057962058673,0.10250000000000001,0.8555087296809151,0.21973333333333334,0.6550079491255962,0.8669758137843244,0.329073482428115,0.5219837629099207,0.269924438777604,412,9535,1463,217,0.940933404053758,0.5257711513144379,0.03306928068509168,0.10250000000000001,0.891064435742257,0.2846488502175264,0.8625235404896422,0.8924801494628678,0.4280373831775701,0.7550036899525101,0.38428141263617643,458,9554,1151,73
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_6h_available_preferred,logistic_regression_balanced,test_2013,"2010,2011",2012,2013,91,13197,9807,11951,405,259,451,0.0525,0.15,0.7222223079147789,0.8433968261157202,0.28075346213643476,0.09081807028079783,0.0525,0.7323340471092077,0.07659269863994274,0.8262548262548263,0.7297863426895685,0.14018997707173272,0.5560411689443949,0.09651696095096005,214,6968,2580,45,0.9226150583244963,0.3357501514378064,0.06900668587712351,0.0525,0.7630323822274286,0.13176616145994433,0.9445676274944568,0.7559130434782608,0.23127035830618892,0.7004806709727176,0.17674174299155285,426,8693,2807,25
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_6h_available_preferred,random_forest_balanced,test_2013,"2010,2011",2012,2013,91,13197,9807,11951,405,259,451,0.045,0.11750000000000001,0.7523971849995181,0.8180801170432507,0.13187604997621868,0.03483038896594982,0.045,0.7795452228000408,0.08755960121369745,0.7799227799227799,0.7795349811478843,0.15744349181605613,0.5594577610706644,0.11543731645605108,202,7443,2105,57,0.9390383688421865,0.4906260708718805,0.028622191473383535,0.045,0.8037821102836583,0.15362106803218728,0.9312638580931264,0.7987826086956522,0.26373626373626374,0.7300464667887785,0.21273106054359942,420,9186,2314,31
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_6h_available_preferred,logistic_regression_balanced,test_2014,"2010,2011,2012",2013,2014,91,23004,11951,10786,664,451,578,0.3375,0.44,0.5737124556627005,0.8874624505928853,0.3309275058048181,0.11268323870307624,0.3375,0.7539118065433855,0.11879975505205144,0.8603104212860311,0.7497391304347826,0.20877051385525963,0.6100495517208135,0.1525714610170934,388,8622,2878,63,0.8670209808983523,0.44156514354706233,0.12072247347012065,0.3375,0.7522714630076024,0.15376984126984128,0.8044982698961938,0.749314263322884,0.25818989450305385,0.5538125332190778,0.1848439226927192,465,7649,2559,113
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_6h_available_preferred,random_forest_balanced,test_2014,"2010,2011,2012",2013,2014,91,23004,11951,10786,664,451,578,0.075,0.04,0.6614989532600797,0.9276595006266268,0.44304593288954613,0.03435058838831345,0.075,0.8125679859425989,0.1566218809980806,0.9046563192904656,0.8089565217391305,0.2670157068062827,0.7136128410295961,0.2166155837495983,408,9303,2197,43,0.8911542171958217,0.35405611290188016,0.04758684982627018,0.075,0.8074355646208048,0.19244973327862125,0.8114186851211073,0.8072100313479624,0.3111111111111111,0.6186287164690696,0.24577281369608564,469,8240,1968,109
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_6h_available_preferred,logistic_regression_balanced,test_2015,"2010,2011,2012,2013",2014,2015,91,34955,10786,10338,1115,578,481,0.3825,0.48,0.8009361309554066,0.9112257432938138,0.46232413394147664,0.11279118947854556,0.3825,0.7993695531244206,0.19755911517925248,0.8961937716262975,0.7938871473354232,0.32375,0.6900809189617207,0.25864631391879245,518,8104,2104,60,0.953728757827368,0.5754652025415616,0.07386983185007863,0.3825,0.8582898046043722,0.23689839572192514,0.920997920997921,0.8552297859389266,0.376860910250957,0.7762277069368477,0.3270517537380978,443,8430,1427,38
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_6h_available_preferred,random_forest_balanced,test_2015,"2010,2011,2012,2013",2014,2015,91,34955,10786,10338,1115,578,481,0.03,0.0825,0.8030092273776965,0.881592885287067,0.3319975994443697,0.053816185575764224,0.03,0.7036899684776562,0.14525745257452574,0.9273356401384083,0.6910266457680251,0.2511715089034677,0.6183622859064335,0.17469775676740995,536,7054,3154,42,0.9500050303540208,0.4688351763830648,0.036756532830613094,0.03,0.789417682337009,0.17658276125095346,0.9625779625779626,0.7809678401136249,0.2984208830164357,0.7435458026915875,0.23854772816085829,463,7698,2159,18
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_12h_available_preferred,logistic_regression_balanced,test_2013,"2010,2011",2012,2013,91,11570,8470,10487,361,200,392,0.005,0.0325,0.6724499903973475,0.8292363966142684,0.17245044002407062,0.07663458326929748,0.005,0.6377804014167651,0.0546583850931677,0.88,0.6319226118500605,0.10292397660818714,0.5119226118500606,0.061180516918719334,176,5226,3044,24,0.9029290616692442,0.36804708584608176,0.06507963983131627,0.005,0.6716887575092972,0.09759957794777104,0.9438775510204082,0.6611193660227835,0.17690652641644752,0.6049969170431917,0.11708616439618,370,6674,3421,22
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_12h_available_preferred,random_forest_balanced,test_2013,"2010,2011",2012,2013,91,11570,8470,10487,361,200,392,0.04,0.10250000000000001,0.7803026857102426,0.7956363361547762,0.14416068056689824,0.03203455688332509,0.04,0.7743801652892562,0.07711319822046465,0.78,0.7742442563482467,0.14035087719298245,0.5542442563482468,0.10174693014998659,156,6403,1867,44,0.9488793957404656,0.5570650834420888,0.02667950273655652,0.04,0.7938399923715076,0.14769108280254778,0.9464285714285714,0.7879148093115403,0.25550964187327824,0.7343433807401119,0.2040364629044783,371,7954,2141,21
